Precio,Marca,Modelo,Potencia,Version,Puertas,Combustible,Plazas,Co2,Color,Año,Km,Cambio,
4.290,FIAT,Panda,69 cv,1.2 Lounge 69cv EU6,5 p,Gasolina,4,120 gr/km ,Granate  metalizado,2013,90000,Manual,
8.990,PEUGEOT,308,110 cv,Nuevo 308 5p Access 1.2 PureTech 110 SS,5 p,Gasolina,5,105 gr/km ,Blanco  ,2014,69000,Manual,
9.490,CITROEN,C4 Cactus,100 cv,BlueHDi 100 Shine Edition Urban,5 p,Diesel,5,89 gr/km ,Gris / Plata  ,2014,49000,Automático,
8.490,CITROEN,C4 Cactus,82 cv,1.2 VTi Feel Cool,5 p,Gasolina,5,107 gr/km ,Blanco  metalizado,2014,49000,Manual,
7.990,SMART,Forfour,71 cv,1.0 52kW 71CV SS PRIME,5 p,Gasolina,4,97 gr/km ,Naranja (negro) metalizado,2016,59000,Automático,
22.500,MAZDA,CX-5,150 cv,2.2 110kW DE 4WD AT Luxury,5 p,Diesel,5,144 gr/km ,Gris / Plata  metalizado,2016,39000,Automático,
8.990,PEUGEOT,208,82 cv,5P STYLE S 1.2L PureTech 60KW 82CV,5 p,Gasolina,5,104 gr/km ,Blanco  metalizado,2017,39000,Manual,
16.990,RENAULT,Master,110 cv,Furgon T L2H2 3300 dCi 81kW 110CV E6,4 p,Diesel,3,204 gr/km ,Blanco  metalizado,2017,18000,Manual,
16.990,JAGUAR,XF,275 cv,3.0 V6 Diesel S Premium Luxury,4 p,Diesel,5,179 gr/km ,Blanco  ,2010,100000,Automático,
7.990,MINI,MINI,98 cv,One,3 p,Gasolina,4,127 gr/km ,Amarillo  metalizado,2010,64990,Manual,
13.990,MAZDA,CX-3,120 cv,2.0 SKYACTIV GE Luxury 2WD AT,5 p,Gasolina,5,136 gr/km ,Marrón  ,2016,25000,Automático,
25.990,TOYOTA,Land Cruiser,190 cv,3.0 D4D NX,5 p,Diesel,5,224 gr/km ,Gris / Plata  metalizado,2015,54000,Manual,
14.990,BMW,Serie 1,177 cv,120d,3 p,Diesel,5,125 gr/km ,Blanco  ,2010,118000,Automático,
8.490,FORD,Focus,125 cv,1.0 EcoBoost ASS 125cv Edition,5 p,Gasolina,5,114 gr/km ,Gris / Plata  metalizado,2014,64000,Manual,
15.990,JEEP,Renegade,140 cv,2.0 Mjet Limited 4x4 140 CV Active Drive,5 p,Diesel,5,134 gr/km ,Negro  metalizado,2015,54000,Manual,
10.990,MINI,Countryman,90 cv,1.6 One D,5 p,Diesel,5,115 gr/km ,Blanco  metalizado,2011,99000,Manual,
20.990,BMW,X5,235 cv,3.0d,5 p,Diesel,5,214 gr/km ,Blanco  metalizado,2007,180000,Automático,
6.490,CITROEN,C3,68 cv,HDI 70 Collection,5 p,Diesel,5,99 gr/km ,Blanco  metalizado,2014,59000,Manual,
16.490,VOLKSWAGEN,Golf,210 cv,VI 2.0 TSI 210cv DSG 6 vel GTI,3 p,Gasolina,5,173 gr/km ,Blanco  metalizado,2010,119000,Automático,
6.990,TOYOTA,Yaris,99 cv,,5 p,Gasolina,5,114 gr/km ,Rojo  metalizado,2014,69000,Manual,
7.490,KIA,cee'd,100 cv,1.4 CVVT 100CV Drive,5 p,Gasolina,5,143 gr/km ,Gris / Plata  metalizado,2014,79000,Manual,
11.990,RENAULT,Mégane,225 cv,Renault Sport 2.0T 225CV,3 p,Gasolina,5,200 gr/km ,Azul  metalizado,2007,12490,Manual,
